#timestamp x y z qx qy qz qw
633.108000 -0.134907 -37.869793 0.165000 -0.707102 -0.002623 0.002623 0.707102
634.196000 -0.133381 -36.890606 0.165000 -0.707099 0.003391 -0.003391 0.707099
635.220000 -0.118208 -35.969139 0.165000 -0.707060 0.008125 -0.008125 0.707060
636.240000 -0.093149 -35.051487 0.165000 -0.707022 0.010939 -0.010939 0.707022
637.332000 -0.060593 -34.069225 0.165000 -0.706999 0.012332 -0.012332 0.706999
638.352000 -0.025346 -33.152710 0.165000 -0.706904 0.016928 -0.016928 0.706904
639.444000 0.033652 -32.171700 0.165000 -0.706668 0.024920 -0.024920 0.706667
640.532000 0.110146 -31.195501 0.165000 -0.706470 0.030008 -0.030008 0.706470
641.620000 0.197677 -30.220226 0.165000 -0.706344 0.032846 -0.032846 0.706343
642.644000 0.284746 -29.302748 0.165000 -0.706293 0.033914 -0.033914 0.706293
643.668000 0.374020 -28.385481 0.165000 -0.706260 0.034598 -0.034598 0.706260
644.688000 0.464075 -27.471910 0.165000 -0.706252 0.034758 -0.034758 0.706252
645.712000 0.554959 -26.554800 0.165000 -0.706233 0.035154 -0.035154 0.706232
646.736000 0.647331 -25.637842 0.165000 -0.706199 0.035825 -0.035825 0.706199
647.760000 0.741254 -24.721041 0.165000 -0.706174 0.036316 -0.036316 0.706174
648.848000 0.842238 -23.747061 0.165000 -0.706156 0.036665 -0.036665 0.706156
649.904000 0.941035 -22.801809 0.165000 -0.706143 0.036911 -0.036911 0.706143
650.928000 1.037142 -21.885235 0.165000 -0.706139 0.036991 -0.036991 0.706138
651.984000 1.137038 -20.940100 0.165000 -0.706117 0.037406 -0.037406 0.706117
653.004000 1.234313 -20.027267 0.165000 -0.706109 0.037553 -0.037553 0.706109
654.028000 1.332058 -19.110867 0.165000 -0.706106 0.037600 -0.037600 0.706106
655.052000 1.429999 -18.194487 0.165000 -0.706108 0.037567 -0.037567 0.706108
656.076000 1.527508 -17.278061 0.165000 -0.706124 0.037272 -0.037272 0.706124
657.164000 1.629866 -16.304224 0.165000 -0.706155 0.036685 -0.036685 0.706154
658.188000 1.724660 -15.387513 0.165000 -0.706182 0.036145 -0.036145 0.706182
659.244000 1.821649 -14.442075 0.165000 -0.706180 0.036189 -0.036189 0.706180
660.264000 1.915625 -13.528896 0.165000 -0.706175 0.036283 -0.036283 0.706175
661.288000 2.010426 -12.612186 0.165000 -0.706163 0.036520 -0.036520 0.706163
662.344000 2.109312 -11.666944 0.165000 -0.706132 0.037109 -0.037109 0.706132
663.368000 2.206048 -10.750436 0.165000 -0.706128 0.037191 -0.037191 0.706128
664.424000 2.305818 -9.805287 0.165000 -0.706131 0.037136 -0.037136 0.706131
665.544000 2.411455 -8.802839 0.165000 -0.706134 0.037078 -0.037078 0.706134
666.568000 2.507903 -7.886301 0.165000 -0.706138 0.037011 -0.037011 0.706137
667.592000 2.604130 -6.969738 0.165000 -0.706144 0.036884 -0.036884 0.706144
668.648000 2.702959 -6.024491 0.165000 -0.706151 0.036752 -0.036752 0.706151
669.704000 2.801669 -5.079231 0.165000 -0.706148 0.036816 -0.036816 0.706148
670.728000 2.897624 -4.162640 0.165000 -0.706144 0.036892 -0.036892 0.706144
671.748000 2.993305 -3.249640 0.165000 -0.706143 0.036908 -0.036908 0.706143
672.772000 3.089323 -2.333056 0.165000 -0.706146 0.036847 -0.036847 0.706146
673.796000 3.185141 -1.416451 0.165000 -0.706150 0.036778 -0.036778 0.706150
674.916000 3.289854 -0.413905 0.165000 -0.706150 0.036766 -0.036766 0.706150
675.940000 3.385386 0.502731 0.165000 -0.706157 0.036643 -0.036643 0.706157
676.996000 3.483723 1.448029 0.165000 -0.706158 0.036624 -0.036624 0.706158
678.020000 3.579033 2.364688 0.165000 -0.706158 0.036615 -0.036615 0.706158
679.076000 3.677288 3.309995 0.165000 -0.706159 0.036606 -0.036606 0.706159
680.132000 3.775560 4.255301 0.165000 -0.706162 0.036539 -0.036539 0.706162
681.188000 3.873483 5.200643 0.165000 -0.706168 0.036425 -0.036425 0.706168
